timestamp,latitude,longitude,mpu_acc_x_g,mpu_acc_y_g,mpu_acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,adxl_acc_x_g,adxl_acc_y_g,adxl_acc_z_g,risk
2026-01-01 00:00:29,23.519992,87.309992,0.0686,0.0072,0.9886,1.138,-0.248,0.514,0.0471,0.0450,1.0408,stable
2026-01-01 00:00:30,23.520011,87.309992,0.0031,0.0479,1.0225,-0.578,0.749,-0.153,-0.0190,-0.0109,1.0073,stable
2026-01-01 00:00:31,23.520004,87.310002,-0.0025,0.0431,1.0169,-0.161,0.856,-0.685,0.0047,-0.0102,1.0099,stable
2026-01-01 00:00:32,23.520000,87.310011,0.0218,0.0026,0.9834,0.798,1.461,-0.223,0.0191,0.0127,1.0053,stable
2026-01-01 00:00:33,23.519983,87.310008,0.0346,0.0459,1.0503,0.346,0.308,1.390,-0.0512,0.0344,0.9630,stable
2026-01-01 00:00:34,23.519980,87.309986,0.0471,-0.0141,0.9988,0.864,-0.582,1.016,-0.0217,-0.0156,1.0106,stable
2026-01-01 00:00:35,23.520014,87.310001,-0.0212,-0.0048,0.9962,0.682,0.204,0.747,-0.0031,0.0096,1.0166,stable
2026-01-01 00:00:36,23.519999,87.309996,-0.0164,0.0326,0.9950,-1.146,1.135,-0.574,-0.0131,0.0573,0.9739,stable
2026-01-01 00:00:37,23.520001,87.309990,0.0553,0.0570,0.9633,1.022,-0.742,-0.008,0.0232,0.0427,1.0022,stable
2026-01-01 00:00:38,23.519992,87.310013,0.0001,0.0222,0.9960,0.240,0.170,-0.383,0.0499,0.0716,1.0158,stable
2026-01-01 00:00:39,23.520008,87.310009,0.0241,0.0184,1.0234,-0.404,0.319,-0.908,0.0178,0.0315,1.0389,stable
2026-01-01 00:00:40,23.520009,87.310000,-0.0157,-0.0303,0.9835,0.882,0.134,0.567,0.0209,0.0568,1.0321,stable
2026-01-01 00:00:41,23.519997,87.309995,-0.0336,0.0323,1.0298,-0.020,1.173,-1.182,0.0251,0.0207,0.9974,stable
2026-01-01 00:00:42,23.520010,87.309997,0.0124,0.0004,0.9928,1.479,1.122,0.704,-0.0258,0.0982,1.0576,stable
2026-01-01 00:00:43,23.519991,87.309991,0.0276,-0.0154,1.0078,-0.830,1.905,1.165,-0.0315,-0.0415,0.9973,stable
2026-01-01 00:00:44,23.519997,87.309974,0.0081,0.0661,0.9831,-0.817,0.811,0.090,0.0956,0.0233,0.9998,stable
2026-01-01 00:00:45,23.519995,87.309987,0.0241,0.0068,1.0102,-0.033,0.637,1.268,-0.0263,0.0845,0.9991,stable
2026-01-01 00:00:46,23.520024,87.310002,0.0561,0.0365,0.9727,-0.045,-0.773,-0.838,0.0221,0.0386,1.0163,stable
2026-01-01 00:00:47,23.519992,87.309990,-0.0017,-0.0190,1.0019,-0.342,0.114,-0.231,0.0178,0.0353,1.0134,stable
2026-01-01 00:00:48,23.519983,87.309996,0.0233,0.0312,0.9744,1.340,0.157,0.168,0.0360,0.0249,1.0246,stable
2026-01-01 00:00:49,23.520002,87.309992,0.0099,0.0496,1.0015,-0.018,0.930,-0.288,0.0544,-0.0225,0.9817,stable
2026-01-01 00:00:50,23.520001,87.310003,0.0469,-0.0004,1.0128,1.382,0.806,0.547,0.0255,-0.0164,1.0008,stable
2026-01-01 00:00:51,23.520000,87.310001,-0.0258,0.0174,0.9897,0.251,-1.185,0.644,0.0521,0.0129,0.9798,stable
2026-01-01 00:00:52,23.519998,87.309976,0.0204,0.0319,0.9986,0.521,0.581,0.881,0.0187,-0.0126,0.9965,stable
2026-01-01 00:00:53,23.520016,87.309997,-0.0166,-0.0141,0.9648,-0.714,-0.687,-0.961,-0.0267,0.0377,0.9695,stable
2026-01-01 00:00:54,23.520002,87.309997,0.0280,0.0342,1.0029,0.276,0.700,-0.125,-0.0395,0.0591,0.9959,stable
2026-01-01 00:00:55,23.520000,87.310010,0.0229,0.0020,1.0245,1.485,0.838,-0.448,0.1681,-0.0329,0.9961,stable
2026-01-01 00:00:56,23.520016,87.310004,-0.0278,0.0200,1.0162,-0.601,-0.280,-0.037,0.0189,-0.0058,1.0230,stable
2026-01-01 00:00:57,23.519983,87.309993,0.0555,-0.0052,1.0539,-0.557,-0.367,0.371,-0.0291,0.1100,0.9848,stable
2026-01-01 00:00:58,23.520015,87.309999,-0.0149,0.0038,1.0152,0.420,-0.820,0.250,-0.0089,-0.0723,0.9858,stable
2026-01-01 00:00:59,23.520006,87.310019,0.0708,-0.0052,0.9982,1.224,-0.035,0.139,0.1063,0.0107,0.9957,stable
2026-01-01 00:01:00,23.520006,87.309990,0.0075,-0.0230,1.0047,0.968,0.226,-0.335,0.0055,0.0570,0.9978,stable
2026-01-01 00:01:01,23.519986,87.309997,0.0673,-0.0482,1.0256,0.303,0.162,0.720,-0.1082,-0.0617,0.9935,stable
2026-01-01 00:01:02,23.519991,87.309998,-0.0206,-0.0000,0.9896,0.840,1.446,-0.169,0.0053,0.0169,1.0000,stable
2026-01-01 00:01:03,23.519984,87.310004,-0.0125,-0.0167,0.9768,0.263,1.220,0.388,-0.0501,-0.0283,1.0242,stable
2026-01-01 00:01:04,23.519989,87.309998,0.0097,-0.0184,0.9984,-1.697,0.702,-0.262,0.0702,-0.0310,0.9716,stable
2026-01-01 00:01:05,23.519984,87.309994,0.0329,0.0021,0.9733,0.220,1.327,0.578,0.1394,-0.0508,1.0038,stable
2026-01-01 00:01:06,23.520012,87.310008,0.0376,-0.0113,0.9865,1.743,0.707,0.068,0.0553,0.0450,1.0270,stable
2026-01-01 00:01:07,23.519993,87.310002,0.0257,0.0407,0.9861,2.139,0.854,0.747,0.0172,0.0457,1.0529,stable
2026-01-01 00:01:08,23.520012,87.309991,0.0327,0.0391,0.9934,-0.165,-0.344,0.224,0.0953,0.0274,1.0287,stable
2026-01-01 00:01:09,23.520001,87.309988,-0.0021,0.0371,1.0085,0.213,0.142,0.991,-0.0079,-0.0458,1.0413,stable
2026-01-01 00:01:10,23.519978,87.310000,0.0029,0.0643,0.9901,-0.353,-0.543,-0.195,-0.0394,-0.0262,0.9628,stable
2026-01-01 00:01:11,23.519984,87.309995,-0.0055,-0.0248,1.0155,0.029,-0.071,1.181,0.0276,0.0340,0.9409,stable
2026-01-01 00:01:12,23.519978,87.309996,0.0262,-0.0082,1.0141,0.836,-0.943,0.068,0.0348,0.0364,1.0101,stable
2026-01-01 00:01:13,23.519996,87.309995,-0.0678,0.0651,0.9960,1.432,1.288,0.290,-0.0394,0.0318,0.9885,stable
2026-01-01 00:01:14,23.520010,87.309979,0.0320,0.0258,1.0478,-1.272,-0.369,0.264,0.0322,0.0542,0.9575,stable
2026-01-01 00:01:15,23.520010,87.310015,0.0708,0.0003,1.0318,1.333,0.879,0.722,-0.0136,-0.0429,1.0310,stable
2026-01-01 00:01:16,23.520000,87.309994,0.0032,0.0190,0.9857,0.572,0.238,-0.221,0.0495,0.0899,0.9962,stable
2026-01-01 00:01:17,23.520009,87.309973,-0.0078,-0.0071,1.0221,0.755,0.809,-0.314,-0.0119,-0.0339,1.0029,stable
2026-01-01 00:01:18,23.520002,87.309993,0.0422,0.0395,1.0385,0.523,0.838,0.591,-0.0081,0.0666,1.0564,stable
2026-01-01 00:01:19,23.520000,87.310003,0.0275,0.0119,1.0181,0.220,1.707,0.324,0.0207,0.0503,1.0121,stable
2026-01-01 00:01:20,23.519999,87.309988,0.0141,-0.0221,1.0075,1.108,0.899,0.393,0.0140,0.0317,0.9551,stable
2026-01-01 00:01:21,23.519999,87.310003,0.0126,-0.0181,1.0076,-0.480,0.564,0.099,0.0659,0.0416,1.0268,stable
2026-01-01 00:01:22,23.519992,87.309991,-0.0291,0.0984,0.9839,0.087,0.075,-0.125,-0.0567,-0.0249,0.9724,stable
2026-01-01 00:01:23,23.519993,87.309993,0.0215,-0.0055,1.0238,0.555,-0.760,0.619,0.0018,0.0314,1.0152,stable
2026-01-01 00:01:24,23.520002,87.309996,0.0554,0.0400,1.0130,-0.504,-0.231,0.078,0.0359,-0.0209,1.0369,stable
2026-01-01 00:01:25,23.519980,87.309995,-0.0626,-0.0106,0.9936,0.115,-0.015,-0.131,0.0781,0.0636,0.9827,stable
2026-01-01 00:01:26,23.519984,87.309992,0.0608,-0.0552,1.0147,0.260,0.156,1.243,-0.0144,0.0122,1.0224,stable
2026-01-01 00:01:27,23.519992,87.309999,0.0178,0.0385,0.9861,0.633,0.166,0.114,0.0173,-0.0128,0.9888,stable
2026-01-01 00:01:28,23.519989,87.310012,0.0215,-0.0263,1.0120,0.985,1.227,0.005,-0.0103,-0.0092,0.9807,stable
2026-01-01 00:01:29,23.520003,87.310000,0.0003,-0.0101,1.0118,-0.457,0.179,0.066,-0.0248,0.0481,1.0288,stable
2026-01-01 00:01:30,23.520001,87.310005,0.0141,0.0387,1.0393,0.727,0.999,0.022,-0.0271,0.0512,0.9736,stable
2026-01-01 00:01:31,23.520009,87.310002,0.0165,0.0645,0.9845,-0.104,0.091,-0.379,0.0242,0.0204,0.9920,stable
2026-01-01 00:01:32,23.519986,87.309987,0.0263,0.0058,1.0130,-0.452,-0.216,-0.185,0.0390,-0.0042,1.0283,stable
2026-01-01 00:01:33,23.520010,87.310009,0.0385,0.0351,0.9951,-1.089,0.533,-0.179,0.0341,0.0361,0.9707,stable
2026-01-01 00:01:34,23.519997,87.309995,0.0200,-0.0227,1.0031,-1.349,0.873,-0.558,-0.0044,-0.0417,0.9711,stable
2026-01-01 00:01:35,23.519996,87.310010,0.0285,0.0042,1.0237,0.704,-0.025,0.836,0.0887,0.0414,1.0545,stable
2026-01-01 00:01:36,23.520008,87.309989,-0.0184,0.0105,0.9713,1.069,-0.232,0.545,-0.0361,-0.0047,1.0337,stable
2026-01-01 00:01:37,23.520003,87.310017,0.0539,-0.0143,1.0310,0.361,0.312,0.869,-0.0272,0.0331,1.0230,stable
2026-01-01 00:01:38,23.519998,87.310010,-0.0063,0.0464,1.0099,0.701,0.443,0.012,-0.0115,0.0054,0.9765,stable
2026-01-01 00:01:39,23.519989,87.309993,0.0493,0.0296,1.0238,0.125,-0.537,0.732,0.0499,0.0019,0.9796,stable
2026-01-01 00:01:40,23.520006,87.309986,0.0384,-0.0312,0.9938,-0.135,-0.367,-0.143,0.0470,0.0268,1.0265,stable
2026-01-01 00:01:41,23.519996,87.310001,0.0311,0.0632,1.0271,1.190,1.146,-0.846,0.0532,0.0235,1.0073,stable
2026-01-01 00:01:42,23.519996,87.310004,0.0402,-0.0329,1.0091,-0.386,0.614,0.028,-0.0084,-0.0158,1.0145,stable
2026-01-01 00:01:43,23.519989,87.309992,0.0095,0.0242,0.9861,-0.284,2.482,-0.340,-0.0136,0.0228,0.9874,stable
2026-01-01 00:01:44,23.520018,87.309996,0.0202,-0.0035,1.0092,1.090,-0.423,1.153,0.0645,0.0345,0.9912,stable
2026-01-01 00:01:45,23.519992,87.310005,0.0055,-0.0550,1.0250,1.238,0.191,0.338,0.0626,0.0305,1.0243,stable
2026-01-01 00:01:46,23.519998,87.310002,0.0670,-0.0122,0.9820,0.802,0.801,0.670,-0.0361,0.0552,1.0371,stable
2026-01-01 00:01:47,23.520000,87.310007,0.0260,0.0313,0.9839,-0.595,0.805,0.543,0.0140,0.0269,0.9712,stable
2026-01-01 00:01:48,23.519995,87.310001,0.0485,-0.0107,1.0302,0.398,0.745,-0.523,0.0418,0.0175,1.0328,stable
2026-01-01 00:01:49,23.519996,87.310004,0.0132,-0.0232,1.0050,0.301,-0.396,0.655,-0.0561,-0.0698,1.0079,stable
2026-01-01 00:01:50,23.520002,87.309991,0.0105,-0.0300,1.0068,0.256,0.509,-0.829,-0.0029,0.0465,1.0417,stable
2026-01-01 00:01:51,23.520003,87.309988,-0.0254,0.0599,1.0176,0.550,0.814,0.334,0.1079,0.0392,0.9318,stable
2026-01-01 00:01:52,23.519993,87.309998,0.0154,-0.0075,0.9874,0.853,-0.237,0.633,0.0450,0.0657,0.9835,stable
2026-01-01 00:01:53,23.519994,87.310012,0.0092,-0.0562,1.0027,0.201,0.253,-0.016,-0.0415,-0.0296,0.9856,stable
2026-01-01 00:01:54,23.520013,87.310007,0.0008,0.0502,0.9802,0.235,0.489,0.608,-0.0092,0.0470,1.0145,stable
2026-01-01 00:01:55,23.519997,87.310013,0.0344,-0.0232,1.0308,-1.411,0.983,0.866,0.0201,0.0046,1.0492,stable
2026-01-01 00:01:56,23.519993,87.310007,-0.0223,-0.0048,0.9800,-0.567,1.278,-0.434,-0.0040,-0.0314,1.0291,stable
2026-01-01 00:01:57,23.520005,87.309999,-0.0201,-0.0172,1.0226,0.995,-2.230,0.891,-0.0018,0.1019,0.9948,stable
2026-01-01 00:01:58,23.520007,87.309991,0.0412,-0.0074,1.0336,0.772,-0.279,0.099,0.0300,-0.0663,0.9965,stable
2026-01-01 00:01:59,23.519987,87.310013,-0.0038,0.0217,0.9841,0.745,1.209,1.037,0.0681,0.0234,0.9808,stable
2026-01-01 00:02:00,23.519987,87.309996,0.0371,0.0253,1.0379,-0.977,0.080,0.329,0.0040,0.0715,0.9970,stable
2026-01-01 00:02:01,23.520005,87.309989,0.0660,0.0201,0.9804,2.270,-1.303,0.767,0.0374,0.0220,1.0176,stable
2026-01-01 00:02:02,23.519993,87.310014,-0.0255,0.0708,1.0339,0.371,1.436,-0.070,0.0115,-0.0011,1.0349,stable
2026-01-01 00:02:03,23.520000,87.310005,0.0088,-0.0140,0.9758,-0.569,-1.076,-0.211,0.0300,0.0172,0.9838,stable
2026-01-01 00:02:04,23.519990,87.309986,-0.0221,0.0334,0.9779,-0.119,2.242,-0.853,0.0257,0.0016,0.9892,stable
2026-01-01 00:02:05,23.520002,87.309989,0.0278,0.0237,1.0308,1.551,0.143,-0.961,0.0389,0.0117,0.9882,stable
2026-01-01 00:02:06,23.519995,87.310010,0.0125,0.0345,1.0207,-0.451,1.036,0.238,0.0981,0.0341,1.0240,stable
2026-01-01 00:02:07,23.519996,87.310001,-0.0201,-0.0231,1.0037,0.537,1.194,-0.015,0.0452,0.0092,1.0034,stable
2026-01-01 00:02:08,23.519979,87.310001,-0.0041,-0.0159,0.9673,-1.127,0.996,0.081,-0.0493,-0.0119,1.0246,stable
2026-01-01 00:02:09,23.519997,87.309996,0.0112,-0.0390,1.0038,2.738,0.130,-0.048,0.0575,0.0088,1.0112,stable
2026-01-01 00:02:10,23.520016,87.309994,0.0263,0.0460,0.9999,0.844,0.846,-0.429,0.0253,-0.0228,0.9869,stable
2026-01-01 00:02:11,23.520012,87.310016,0.0932,0.0103,0.9870,1.661,-0.931,0.035,-0.0046,0.0850,0.9855,stable
2026-01-01 00:02:12,23.520013,87.309998,0.0290,-0.0342,1.0038,-1.689,0.632,0.438,-0.0497,-0.0415,0.9872,stable
2026-01-01 00:02:13,23.519997,87.309990,-0.0152,0.0212,0.9963,0.191,0.666,0.132,0.0525,0.0191,1.0335,stable
2026-01-01 00:02:14,23.519985,87.310009,0.0685,-0.0172,1.0046,0.728,0.716,-0.177,0.0705,-0.0193,1.0071,stable
2026-01-01 00:02:15,23.520020,87.309995,0.0385,0.0186,0.9722,-0.589,-0.103,-0.025,0.0191,0.0661,1.0260,stable
2026-01-01 00:02:16,23.519998,87.310008,0.0274,0.0572,1.0003,1.678,-0.277,0.180,0.0382,-0.0024,0.9911,stable
2026-01-01 00:02:17,23.519998,87.310017,-0.0003,0.0058,1.0215,-0.344,-0.276,0.389,-0.0086,0.0185,0.9494,stable
2026-01-01 00:02:18,23.519998,87.309995,-0.0148,-0.0145,1.0108,-0.744,0.079,0.811,0.0314,0.0112,0.9963,stable
2026-01-01 00:02:19,23.519999,87.309978,-0.0065,-0.0465,1.0337,-0.256,0.944,1.694,-0.0069,0.0670,1.0159,stable
2026-01-01 00:02:20,23.519989,87.309994,0.0032,-0.0575,1.0159,0.742,-0.035,2.024,-0.0483,-0.0223,1.0322,stable
2026-01-01 00:02:21,23.519990,87.310018,-0.0125,0.0508,1.0125,1.801,-0.218,1.986,-0.0270,0.0025,1.0505,stable
2026-01-01 00:02:22,23.519994,87.310001,0.0286,0.0236,0.9915,0.885,1.503,0.422,-0.0321,0.0161,0.9959,stable
2026-01-01 00:02:23,23.519983,87.310006,-0.0170,0.0502,1.0219,0.779,0.030,0.630,0.0160,0.0442,1.0015,stable
2026-01-01 00:02:24,23.519995,87.310015,0.0586,0.0151,1.0027,0.879,0.763,-0.362,0.0445,0.0643,0.9831,stable
2026-01-01 00:02:25,23.520005,87.310007,0.0024,-0.0039,0.9976,0.718,0.284,-0.594,-0.0256,0.0405,0.9777,stable
2026-01-01 00:02:26,23.519996,87.309994,0.0158,0.0623,1.0111,-0.804,0.710,0.907,0.0423,0.0616,1.0155,stable
2026-01-01 00:02:27,23.520000,87.310005,0.0366,-0.0028,1.0056,1.392,1.104,0.613,0.0338,-0.0260,0.9797,stable
2026-01-01 00:02:28,23.520010,87.310004,0.0318,-0.0330,0.9793,0.347,-0.751,0.754,0.0283,0.1331,1.0398,stable
2026-01-01 00:02:29,23.519998,87.310002,0.0119,-0.0312,1.0252,-1.829,-0.208,-0.272,0.0572,0.0132,1.0399,stable
2026-01-01 00:02:30,23.519989,87.310011,-0.0047,-0.0198,0.9938,0.806,1.195,-0.727,0.0064,0.0156,1.0121,stable
2026-01-01 00:02:31,23.520001,87.309994,-0.0184,-0.0427,0.9986,1.112,-0.002,1.619,0.0149,-0.0043,1.0141,stable
2026-01-01 00:02:32,23.520002,87.309979,0.0353,0.0140,1.0106,-0.644,-0.419,1.165,0.0378,-0.0089,1.0193,stable
2026-01-01 00:02:33,23.520020,87.310011,0.0273,-0.0015,1.0414,-0.321,-0.676,-0.292,0.0034,0.0456,1.0338,stable
2026-01-01 00:02:34,23.520002,87.310008,0.0828,0.0393,1.0347,-0.218,-0.301,-1.381,0.0209,0.0707,0.9947,stable
2026-01-01 00:02:35,23.519991,87.309995,0.0236,-0.0239,1.0252,0.633,-0.093,1.118,0.0485,-0.0684,0.9439,stable
2026-01-01 00:02:36,23.519995,87.309998,0.0159,0.0322,0.9746,0.577,0.011,0.163,-0.0077,0.0081,1.0398,stable
2026-01-01 00:02:37,23.519988,87.310006,0.0620,0.0058,0.9762,0.583,-0.699,1.530,0.1117,0.0241,1.0193,stable
2026-01-01 00:02:38,23.520011,87.310000,0.0169,0.0528,1.0233,-0.934,-0.144,-0.317,0.0517,-0.0047,1.0191,stable
2026-01-01 00:02:39,23.519999,87.310023,0.0642,-0.0444,1.0152,-0.020,-0.582,0.622,0.0220,0.0371,1.0105,stable
2026-01-01 00:02:40,23.519991,87.309995,0.0304,0.0340,0.9813,-0.791,0.305,0.041,-0.0103,0.0603,0.9466,stable
2026-01-01 00:02:41,23.519991,87.310009,0.0615,0.0353,1.0289,0.506,-0.806,0.000,0.0278,0.0188,1.0360,stable
2026-01-01 00:02:42,23.519992,87.309985,-0.0342,0.0422,1.0132,1.323,0.355,-0.357,0.0577,-0.0127,0.9741,stable
2026-01-01 00:02:43,23.520001,87.310013,0.0166,0.0487,1.0069,2.552,1.757,0.343,-0.0153,-0.0494,1.0168,stable
2026-01-01 00:02:44,23.520005,87.310003,0.0281,0.0463,1.0107,-0.241,0.767,-0.418,0.0467,0.0436,1.0041,stable
2026-01-01 00:02:45,23.519982,87.309989,-0.0338,0.0128,0.9951,1.073,0.403,0.254,0.0403,0.0565,0.9695,stable
2026-01-01 00:02:46,23.519982,87.309992,0.0454,0.0327,1.0197,1.505,-0.933,0.042,0.0199,0.0964,1.0363,stable
2026-01-01 00:02:47,23.519992,87.310022,0.0292,-0.0182,1.0497,-0.320,0.113,-0.363,0.0391,0.0261,1.0160,stable
2026-01-01 00:02:48,23.519984,87.310014,-0.0097,0.0559,1.0493,0.223,-0.631,0.422,0.0159,-0.0555,1.0231,stable
2026-01-01 00:02:49,23.520014,87.310010,0.0066,0.0131,1.0001,2.854,-0.449,0.258,0.0577,-0.0004,0.9878,stable
2026-01-01 00:02:50,23.520012,87.310007,0.0291,-0.0333,1.0167,0.105,-0.801,0.191,-0.0168,0.0182,1.0081,stable
2026-01-01 00:02:51,23.520009,87.309999,0.0309,0.0246,1.0240,0.099,1.038,0.317,0.0630,0.0448,0.9990,stable
2026-01-01 00:02:52,23.519997,87.310010,0.0706,0.0447,1.0483,-0.064,0.087,-0.015,0.0329,0.0003,1.0381,stable
2026-01-01 00:02:53,23.520004,87.309990,0.0314,0.0322,1.0131,1.495,-0.139,0.005,0.0447,0.0362,1.0280,stable
2026-01-01 00:02:54,23.519987,87.309988,0.0020,0.0358,1.0178,0.802,0.230,-0.400,0.1056,0.0256,1.0359,stable
2026-01-01 00:02:55,23.519994,87.309996,0.0597,-0.0272,1.0076,1.151,0.624,-0.323,0.0569,0.0488,0.9792,stable
2026-01-01 00:02:56,23.519995,87.309989,0.0469,0.0023,0.9981,0.059,1.488,0.674,-0.0467,-0.0246,1.0219,stable
2026-01-01 00:02:57,23.519994,87.309991,-0.0249,0.0149,1.0010,0.322,-0.472,0.641,0.0718,-0.0144,0.9635,stable
2026-01-01 00:02:58,23.519987,87.310016,-0.0266,0.0022,1.0374,-0.036,-0.326,0.116,0.0084,0.0749,0.9996,stable
2026-01-01 00:02:59,23.520010,87.310010,0.0082,0.0352,1.0043,0.310,-0.616,-0.155,-0.0196,0.0283,1.0082,stable
2026-01-01 00:03:00,23.519991,87.310000,0.0289,0.0142,0.9648,1.793,1.567,0.551,0.0449,-0.0112,1.0088,stable
2026-01-01 00:03:01,23.520001,87.309986,0.0326,0.0014,1.0218,0.007,0.975,-0.479,0.0074,-0.0065,1.0259,stable
2026-01-01 00:03:02,23.520003,87.310005,-0.0554,-0.0158,1.0106,0.833,1.349,0.092,0.0220,-0.0050,0.9941,stable
2026-01-01 00:03:03,23.519995,87.309998,-0.0045,0.0128,0.9706,0.517,0.657,-0.053,-0.0023,0.0543,1.0096,stable
2026-01-01 00:03:04,23.519986,87.309998,-0.0188,-0.0116,0.9891,1.001,-0.615,0.591,-0.0396,-0.0012,1.0419,stable
2026-01-01 00:03:05,23.520003,87.310006,0.0323,0.0308,1.0317,0.318,0.810,0.675,0.0403,0.0673,0.9909,stable
2026-01-01 00:03:06,23.520013,87.310000,-0.0015,0.0131,0.9996,1.087,0.549,0.550,0.0193,0.0561,0.9449,stable
2026-01-01 00:03:07,23.520000,87.309996,-0.0135,0.0306,0.9869,0.474,0.346,-0.273,0.0103,0.0641,1.0240,stable
2026-01-01 00:03:08,23.519999,87.309983,0.0010,0.0075,1.0346,0.715,-0.385,0.302,0.0075,0.0053,0.9781,stable
2026-01-01 00:03:09,23.520000,87.310008,-0.0288,-0.0218,1.0769,0.605,0.650,-0.364,0.0871,0.0124,1.0167,stable
2026-01-01 00:03:10,23.519992,87.309995,0.0046,-0.0292,1.0126,0.522,0.825,0.744,0.0315,0.0053,1.0359,stable
2026-01-01 00:03:11,23.520014,87.309998,0.0379,0.0668,0.9603,0.052,1.666,-0.019,0.1272,-0.0461,1.0151,stable
2026-01-01 00:03:12,23.520005,87.309994,0.0015,-0.0427,1.0048,-0.673,0.369,0.152,0.0591,-0.0391,1.0190,stable
2026-01-01 00:03:13,23.519997,87.309992,0.0126,0.0385,1.0004,0.156,1.680,0.241,0.0110,-0.0494,0.9730,stable
2026-01-01 00:03:14,23.519998,87.310003,-0.0055,0.0075,0.9942,0.200,1.792,-0.188,0.0628,-0.0272,0.9933,stable
